"INCP_2016","Income","AGE","Age","SEX_ABS","Sex","STATE","State","REGIONTYPE","Geography Level","ASGS_2016","Region","TIME","Year","Value","Flag Codes","Flags"
"07","$500-$649 ($26,000-$33,799) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",15,,
"07","$500-$649 ($26,000-$33,799) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",12,,
"08","$650-$799 ($33,800-$41,599) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",5,,
"08","$650-$799 ($33,800-$41,599) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",7,,
"09","$800-$999 ($41,600-$51,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",5,,
"09","$800-$999 ($41,600-$51,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40105","Norwood - Payneham - St Peters","2016","2016",3,,
"10","$1,000-$1,249 ($52,000-$64,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",0,,
"10","$1,000-$1,249 ($52,000-$64,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",4,,
"11","$1,250-$1,499 ($65,000-$77,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",0,,
"11","$1,250-$1,499 ($65,000-$77,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",3,,
"12","$1,500-$1,749 ($78,000-$90,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",0,,
"12","$1,500-$1,749 ($78,000-$90,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",0,,
"13","$1,750-$1,999 ($91,000-$103,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",0,,
"13","$1,750-$1,999 ($91,000-$103,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",0,,
"14","$2,000-$2,999 ($104,000-$155,999) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",0,,
"14","$2,000-$2,999 ($104,000-$155,999) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",0,,
"15","$3,000 or more ($156,000 or more) ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",0,,
"15","$3,000 or more ($156,000 or more) ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",3,,
"01","Negative income ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",15,,
"01","Negative income ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",12,,
"02","Nil income ","A15","15 - 19","1","Males","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",394,,
"02","Nil income ","A15","15 - 19","2","Females","4","South Australia","SA3","Statistical Area Level 3","40106","Prospect - Walkerville","2016","2016",331,,
